year,source_category,quantity_co2e_tonnes,facility_id
2024,On-site Transportation,379.144,465
2022,CO2 from Biomass Combustion,0.0,692
2022,Fugitives (Flaring),346.6,692
2022,Stationary Fuel Combustion,26943.22,692
2022,Wastewater,538.1,692
2023,CO2 from Biomass Combustion,0.0,692
2023,Fugitives (Flaring),497.5,692
2023,Stationary Fuel Combustion,22199.8435,692
2023,Wastewater,106.0,692
2024,CO2 from Biomass Combustion,0.0,692
2024,Fugitives (Flaring),164.355,692
2024,Stationary Fuel Combustion,21327.0342,692
2024,Wastewater,356.2925,692
2024,Stationary Fuel Combustion,35693.904,1130
2024,On-site Transportation,27245.813,1130
2024,Stationary Fuel Combustion,50227.46,514
2024,On-site Transportation,677.06,514
2023,CO2 from Biomass Combustion,0.0,760
2023,Stationary Fuel Combustion,13211.19,760
2023,Wastewater,41633.128,760
2023,Stationary Fuel Combustion,35671.672,1
2023,On-site Transportation,221.999,1
2023,Waste,16241.12,1
2023,Stationary Fuel Combustion,14248.1696,933
2023,Industrial Process,4137.5184,933
2023,On-site Transportation,517.6258,933
2022,Stationary Fuel Combustion,29976.6636,164
2023,Stationary Fuel Combustion,28703.54624,164
2024,Waste,26936.0,1467
2024,Stationary Fuel Combustion,18373.78,1045
2024,Industrial Process,313.495,1045
2024,Stationary Fuel Combustion,3872.2686,648
2024,On-site Transportation,5147.263,648
2024,Stationary Fuel Combustion,23112.908,1701
2024,On-site Transportation,46.863075,1701
2023,Fugitives (Flaring),1207.05676,788
2023,Stationary Fuel Combustion,10427.347,788
2022,Fugitives (Flaring),1663.9448,788
2022,Stationary Fuel Combustion,12471.495,788
2024,Fugitives (Flaring),45506.8734,1329
2024,Fugitives (Leakage),11.4244,1329
2024,Stationary Fuel Combustion,21850.28552,1329
2024,Fugitives (Venting),42.503,1329
2023,Fugitives (Flaring),45326.69169,1329
2023,Fugitives (Leakage),57.47739,1329
2023,Stationary Fuel Combustion,23215.40969,1329
2023,Fugitives (Venting),30.905,1329
2024,Stationary Fuel Combustion,27481.02556,1139
