facility_id,ghgrp_id,facility_name,npri_id,province,naics_code,naics_description
267,G10355,Nackawic Mill,2181,New Brunswick,322112,Chemical Pulp Mills
268,G10356,Balzac Power Station,6560,Alberta,221112,Fossil-Fuel Electric Power Generation
269,G10357,Bécancour Power Plant,8606,Quebec,221112,Fossil-Fuel Electric Power Generation
270,G10358,Eastview Landfill,10636,Ontario,562210,Waste Treatment and Disposal
271,G10359,Coal Valley Mine,1585,Alberta,212114,Bituminous Coal Mining
272,G10360,Corunna Hydrogen Facility,11489,Ontario,325120,Industrial Gas Manufacturing
273,G10361,Edmonton Hydrogen Facility,19995,Alberta,325120,Industrial Gas Manufacturing
274,G10364,Essex County Landfill No. 3,11455,Ontario,562210,Waste Treatment and Disposal
275,G10365,Essex-Windsor Regional Landfill,11456,Ontario,562210,Waste Treatment and Disposal
276,G10366,Toronto Pearson International Airport,4451,Ontario,488190,Other Support Activities for Air Transportation
277,G10368,Marten Hills Gas Plant,15596,Alberta,211110,Oil and gas extraction (except oil sands)
278,G10369,ArcelorMittal Contrecoeur Ouest,2986,Quebec,331110,Iron and Steel Mills and Ferro-Alloy Manufacturing
279,G10370,OC Celfortec LPValleyfield,5482,Quebec,326140,Polystyrene Foam Product Manufacturing
280,G10371,Olds 06-18-032-01W5 GP,1074,Alberta,211110,Oil and gas extraction (except oil sands)
281,G10373,Plant #31 Brampton,517,Ontario,327214,Glass Manufacturing
282,G10375,Prentiss Manufacturing Facility,2316,Alberta,325210,Resin and Synthetic Rubber Manufacturing
283,G10376,Britannia Sanitary Landfill Site,5989,Ontario,562210,Waste Treatment and Disposal
284,G10379,Transfer Station No. 2,500303,Ontario,562110,Waste Collection
285,G10380,Bear Creek Power Plant,18142,Alberta,221112,Fossil-Fuel Electric Power Generation
286,G10381,Diavik Diamond Mines (2012) Inc.,18241,Northwest Territories,212392,Diamond Mining
287,G10385,Teck Highland Valley Copper Partnership,3356,British Columbia,212233,Copper-Zinc Ore Mining
288,G10386,"Irving Pulp & Paper, Limited",2604,New Brunswick,322112,Chemical Pulp Mills
289,G10388,Line Creek Operations,7839,British Columbia,212114,Bituminous Coal Mining
290,G10389,Lloydminster Ethanol Plant,21547,Saskatchewan,325190,Other Basic Organic Chemical Manufacturing
291,G10390,Long Lake,22378,Alberta,211141,In-situ oil sands extraction
292,G10394,Tucker Thermal,21548,Alberta,211141,In-situ oil sands extraction
293,G10396,Varennes Plant,,Quebec,325190,Other Basic Organic Chemical Manufacturing
294,G10398,Sudbury Integrated Nickel Operations Smelter,1236,Ontario,331410,Non-Ferrous Metal (except Aluminum) Smelting and Refining
295,G10399,Dillon / Brule Mine,20078,British Columbia,212114,Bituminous Coal Mining
296,G10400,Wolverine Mine,20116,British Columbia,212114,Bituminous Coal Mining
297,G10401,Usine de triage Lachenaie,6370,Quebec,562990,All Other Waste Management Services
298,G10404,Duffin Creek WPCP,4908,Ontario,221320,Sewage Treatment Facilities
